Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
44,Modou Barrow,gm GAM,MFFW,Swansea City,23,1992,18,12,1145,12.7,0.00,0.16,0.16,0.00,0.00,0.00,0.08,0.00,0.00,0.16,0.16,0.00,0.16,Matches,75783f5f
45,Gareth Barry,eng ENG,MF,Everton,35,1981,33,23,2108,23.4,0.09,0.04,0.13,0.09,0.00,0.00,0.43,0.00,0.09,0.04,0.13,0.09,0.13,Matches,7dbbe367
46,Joey Barton,eng ENG,MF,Burnley,33,1982,14,12,1105,12.3,0.08,0.00,0.08,0.08,0.00,0.00,0.33,0.00,0.08,0.00,0.08,0.08,0.08,Matches,93bfa675
47,Borja Bastón,es ESP,FW,Swansea City,23,1992,18,4,561,6.2,0.16,0.00,0.16,0.16,0.00,0.00,0.00,0.00,0.16,0.00,0.16,0.16,0.16,Matches,8c44e37b
48,Michy Batshuayi,be BEL,FW,Chelsea,22,1993,20,1,254,2.8,1.79,0.36,2.14,1.79,0.00,0.00,0.00,0.00,1.77,0.35,2.13,1.77,2.13,Matches,2973d8ff
49,Asmir Begović,ba BIH,GK,Chelsea,29,1987,2,2,180,2.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,7b4de647
50,Valon Behrami,ch SUI,MF,Watford,31,1985,27,26,2030,22.6,0.00,0.09,0.09,0.00,0.00,0.00,0.31,0.00,0.00,0.09,0.09,0.00,0.09,Matches,d3d758d8
51,Héctor Bellerín,es ESP,DFMF,Arsenal,21,1995,33,27,2503,27.8,0.04,0.14,0.18,0.04,0.00,0.00,0.14,0.00,0.04,0.14,0.18,0.04,0.18,Matches,f874dd44
52,Yohan Benalouane,tn TUN,DF,Leicester City,29,1987,11,11,917,10.2,0.00,0.00,0.00,0.00,0.00,0.00,0.39,0.00,0.00,0.00,0.00,0.00,0.00,Matches,8309b068
53,Christian Benteke,be BEL,FW,Crystal Palace,25,1990,36,36,3131,34.8,0.43,0.06,0.49,0.37,0.06,0.11,0.29,0.00,0.43,0.06,0.49,0.37,0.43,Matches,ab070c55
54,Jonathan Benteke,be BEL,FW,Crystal Palace,21,1995,1,0,7,0.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,5c59bc47
55,Saido Berahino,bi BDI,FW,Stoke City,22,1993,13,8,720,8.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,25b166d0
56,Saido Berahino,bi BDI,FW,West Brom,22,1993,4,3,243,2.7,0.00,0.00,0.00,0.00,0.00,0.00,0.37,0.00,0.00,0.00,0.00,0.00,0.00,Matches,25b166d0
57,Jóhann Berg Guðmundsson,is ISL,MF,Burnley,25,1990,20,10,998,11.1,0.09,0.18,0.27,0.09,0.00,0.00,0.09,0.00,0.09,0.18,0.27,0.09,0.27,Matches,f72293fc
58,Ryan Bertrand,eng ENG,DF,Southampton,26,1989,28,28,2507,27.9,0.07,0.11,0.18,0.07,0.00,0.00,0.11,0.00,0.07,0.11,0.18,0.07,0.18,Matches,01226327
59,Mame Biram Diouf,sn SEN,MFFW,Stoke City,28,1987,27,15,1385,15.4,0.06,0.13,0.19,0.06,0.00,0.00,0.19,0.00,0.06,0.13,0.19,0.06,0.19,Matches,7f4f3e49
60,Daley Blind,nl NED,DF,Manchester Utd,26,1990,23,20,1830,20.3,0.05,0.10,0.15,0.05,0.00,0.00,0.10,0.00,0.05,0.10,0.15,0.05,0.15,Matches,691bef82
61,Yannick Bolasie,cd COD,FWMF,Crystal Palace,27,1989,1,0,25,0.3,0.00,0.00,0.00,0.00,0.00,0.00,3.33,0.00,0.00,0.00,0.00,0.00,0.00,Matches,715fc0fe
62,Yannick Bolasie,cd COD,MFFW,Everton,27,1989,13,12,1023,11.4,0.09,0.35,0.44,0.09,0.00,0.00,0.18,0.00,0.09,0.35,0.44,0.09,0.44,Matches,715fc0fe
63,Wilfried Bony,ci CIV,FW,Stoke City,27,1988,10,9,684,7.6,0.26,0.00,0.26,0.26,0.00,0.00,0.13,0.00,0.26,0.00,0.26,0.26,0.26,Matches,61abe9b6
64,Fabio Borini,it ITA,FWMF,Sunderland,25,1991,24,19,1741,19.3,0.10,0.00,0.10,0.10,0.00,0.00,0.26,0.00,0.10,0.00,0.10,0.10,0.10,Matches,ef5b337e
65,Artur Boruc,pl POL,GK,Bournemouth,36,1980,35,35,3150,35.0,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.00,0.00,0.00,0.00,0.00,Matches,34ccf6fa
66,Sofiane Boufal,ma MAR,FWMF,Southampton,22,1993,24,12,1104,12.3,0.08,0.08,0.16,0.08,0.00,0.00,0.41,0.00,0.08,0.08,0.16,0.08,0.16,Matches,b0c71810
67,Jarrod Bowen,eng ENG,MF,Hull City,19,1996,7,1,181,2.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,79c84d1c
