Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,-9999
248,Mile Jedinak,au AUS,MF,Crystal Palace,31,1984,1,1,90,1.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,22fd2214
249,Carl Jenkinson,eng ENG,DF,Arsenal,24,1992,1,1,82,0.9,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,874125a3
250,Gabriel Jesus,br BRA,FWMF,Manchester City,19,1997,10,8,650,7.2,0.97,0.56,1.53,0.83,0.14,0.14,0.28,0.00,0.97,0.55,1.52,0.83,1.38,Matches,b66315ae
251,Glen Johnson,eng ENG,DF,Stoke City,31,1984,23,21,1957,21.7,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.00,0.00,0.00,0.00,0.00,Matches,8cceca90
252,Billy Jones,eng ENG,DFMF,Sunderland,29,1987,27,25,2270,25.2,0.04,0.00,0.04,0.04,0.00,0.00,0.32,0.00,0.04,0.00,0.04,0.04,0.04,Matches,aa3cb1ad
253,David Jones,eng ENG,MF,Burnley,31,1984,1,1,86,1.0,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,2f0edbe7
254,Phil Jones,eng ENG,DF,Manchester Utd,24,1992,18,18,1584,17.6,0.00,0.00,0.00,0.00,0.00,0.00,0.11,0.00,0.00,0.00,0.00,0.00,0.00,Matches,def899bd
255,Lukas Jutkiewicz,eng ENG,FW,Burnley,27,1989,2,0,13,0.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,3943a06f
256,Christian Kabasele,be BEL,DFMF,Watford,25,1991,16,7,771,8.6,0.23,0.00,0.23,0.23,0.00,0.00,0.12,0.00,0.23,0.00,0.23,0.23,0.23,Matches,914ab9a1
257,Younès Kaboul,fr FRA,DF,Watford,30,1986,22,22,1820,20.2,0.10,0.00,0.10,0.10,0.00,0.00,0.10,0.00,0.10,0.00,0.10,0.10,0.10,Matches,3680d723
258,Younès Kaboul,fr FRA,DF,Sunderland,30,1986,1,1,90,1.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,3680d723
259,Sullay Kaikai,sl SLE,FWMF,Crystal Palace,20,1995,1,0,24,0.3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,fc166e49
260,Harry Kane,eng ENG,FW,Tottenham,23,1993,30,29,2521,28.0,1.04,0.18,1.21,0.86,0.18,0.21,0.11,0.00,1.04,0.18,1.21,0.86,1.04,Matches,21a66f6a
261,N'Golo Kanté,fr FRA,MF,Chelsea,25,1991,35,35,3138,34.9,0.03,0.03,0.06,0.03,0.00,0.00,0.26,0.00,0.03,0.03,0.06,0.03,0.06,Matches,b9fbae28
262,Loris Karius,de GER,GK,Liverpool,23,1993,10,10,900,10.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,32e7ce92
263,Michael Keane,eng ENG,DF,Burnley,23,1993,35,35,3150,35.0,0.06,0.03,0.09,0.06,0.00,0.00,0.11,0.00,0.06,0.03,0.09,0.06,0.09,Matches,c5b7c315
264,Will Keane,ie IRL,FW,Hull City,23,1993,5,4,280,3.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,fc7f8f87
265,Martin Kelly,eng ENG,DF,Crystal Palace,26,1990,29,25,2123,23.6,0.00,0.08,0.08,0.00,0.00,0.00,0.17,0.00,0.00,0.08,0.08,0.00,0.08,Matches,d7492450
266,Kenedy,br BRA,FWMF,Watford,20,1996,1,0,16,0.2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,5eebbfdf
267,Kenedy,br BRA,MF,Chelsea,20,1996,1,1,74,0.8,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,5eebbfdf
268,Jonjoe Kenny,eng ENG,DFFW,Everton,19,1997,1,0,13,0.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,099e666f
269,Wahbi Khazri,tn TUN,MFFW,Sunderland,25,1991,21,7,849,9.4,0.11,0.00,0.11,0.11,0.00,0.00,0.64,0.00,0.11,0.00,0.11,0.11,0.11,Matches,2677a1de
270,Michael Kightly,eng ENG,MF,Burnley,30,1986,5,1,104,1.2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,26e5c484
271,Andy King,wls WAL,MF,Leicester City,27,1988,23,15,1446,16.1,0.06,0.00,0.06,0.06,0.00,0.00,0.25,0.00,0.06,0.00,0.06,0.06,0.06,Matches,d790907f
272,Joshua King,no NOR,MFFW,Bournemouth,24,1992,36,31,2713,30.1,0.53,0.07,0.60,0.47,0.07,0.10,0.03,0.00,0.53,0.07,0.60,0.46,0.53,Matches,43458538
273,Stephen Kingsley,sct SCO,DF,Swansea City,22,1994,13,12,1036,11.5,0.00,0.09,0.09,0.00,0.00,0.00,0.00,0.00,0.00,0.09,0.09,0.00,0.09,Matches,488cc9c7
274,Jan Kirchhoff,de GER,MF,Sunderland,25,1990,7,5,433,4.8,0.00,0.00,0.00,0.00,0.00,0.00,0.21,0.00,0.00,0.00,0.00,0.00,0.00,Matches,a14d04e3
275,Ragnar Klavan,ee EST,DF,Liverpool,30,1985,20,15,1410,15.7,0.00,0.00,0.00,0.00,0.00,0.00,0.19,0.00,0.00,0.00,0.00,0.00,0.00,Matches,008a6e6d
276,Aleksandar Kolarov,rs SRB,DF,Manchester City,30,1985,29,27,2535,28.2,0.04,0.07,0.11,0.04,0.00,0.00,0.21,0.00,0.04,0.07,0.11,0.04,0.11,Matches,eda40760
277,Vincent Kompany,be BEL,DF,Manchester City,30,1986,11,10,820,9.1,0.33,0.00,0.33,0.33,0.00,0.00,0.55,0.00,0.33,0.00,0.33,0.33,0.33,Matches,d2bff301
278,Arouna Koné,ci CIV,FW,Everton,32,1983,5,0,70,0.8,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,f9a72ca4
279,Lamine Koné,ci CIV,DF,Sunderland,27,1989,30,29,2545,28.3,0.04,0.00,0.04,0.04,0.00,0.00,0.14,0.00,0.04,0.00,0.04,0.04,0.04,Matches,a46472d0
280,Laurent Koscielny,fr FRA,DF,Arsenal,30,1985,33,33,2822,31.4,0.06,0.00,0.06,0.06,0.00,0.00,0.13,0.03,0.06,0.00,0.06,0.06,0.06,Matches,f5efb153
281,Cheikhou Kouyaté,sn SEN,MFDF,West Ham,26,1989,31,31,2722,30.2,0.03,0.00,0.03,0.03,0.00,0.00,0.10,0.00,0.03,0.00,0.03,0.03,0.03,Matches,8d3c902d
282,Bojan Krkić,es ESP,MFFW,Stoke City,25,1990,9,5,475,5.3,0.57,0.00,0.57,0.19,0.38,0.57,0.19,0.00,0.57,0.00,0.57,0.19,0.19,Matches,9fa0a0b8
283,Adam Lallana,eng ENG,MFFW,Liverpool,28,1988,31,27,2348,26.1,0.31,0.23,0.54,0.31,0.00,0.00,0.11,0.00,0.31,0.23,0.54,0.31,0.54,Matches,99813635
284,Rickie Lambert,eng ENG,FW,West Brom,34,1982,1,0,13,0.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,495de82c
285,Érik Lamela,ar ARG,MF,Tottenham,24,1992,9,6,594,6.6,0.15,0.45,0.61,0.15,0.00,0.15,0.15,0.00,0.15,0.45,0.61,0.15,0.61,Matches,abe66106
286,Manuel Lanzini,ar ARG,MF,West Ham,23,1993,35,31,2706,30.1,0.27,0.07,0.33,0.20,0.07,0.07,0.30,0.00,0.27,0.07,0.33,0.20,0.27,Matches,26f6dca8
287,Seb Larsson,se SWE,MF,Sunderland,31,1985,21,17,1469,16.3,0.00,0.06,0.06,0.00,0.00,0.00,0.25,0.06,0.00,0.06,0.06,0.00,0.06,Matches,b26efc36
288,Grant Leadbitter,eng ENG,MF,Middlesbrough,30,1986,13,7,710,7.9,0.13,0.00,0.13,0.13,0.00,0.00,0.13,0.00,0.13,0.00,0.13,0.13,0.13,Matches,516f7fc1
289,Joe Ledley,wls WAL,MF,Crystal Palace,29,1987,18,13,1160,12.9,0.08,0.08,0.16,0.08,0.00,0.00,0.08,0.00,0.08,0.08,0.16,0.08,0.16,Matches,c221f149
290,Lucas Leiva,br BRA,MFDF,Liverpool,29,1987,24,12,1112,12.4,0.00,0.16,0.16,0.00,0.00,0.00,0.32,0.00,0.00,0.16,0.16,0.00,0.16,Matches,4c78b5ed
291,Jonathan Leko,eng ENG,FWMF,West Brom,17,1999,9,0,181,2.0,0.00,0.50,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.50,0.00,0.50,Matches,76b5cbbd
292,Aaron Lennon,eng ENG,MFFW,Everton,29,1987,11,6,509,5.7,0.00,0.18,0.18,0.00,0.00,0.00,0.00,0.00,0.00,0.18,0.18,0.00,0.18,Matches,2ff964a0
293,Jeremain Lens,nl NED,FWMF,Sunderland,28,1987,2,0,69,0.8,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,6f1721f0
294,Joleon Lescott,eng ENG,DF,Sunderland,33,1982,2,1,124,1.4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,62393d3b
295,Filip Lesniak,sk SVK,MF,Tottenham,20,1996,1,0,5,0.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,5348fe7c
296,Jesse Lingard,eng ENG,MFFW,Manchester Utd,23,1992,25,18,1360,15.1,0.07,0.07,0.13,0.07,0.00,0.00,0.20,0.00,0.07,0.07,0.13,0.07,0.13,Matches,810e3c74
297,Jake Livermore,eng ENG,MF,West Brom,26,1989,16,15,1301,14.5,0.00,0.00,0.00,0.00,0.00,0.00,0.14,0.00,0.00,0.00,0.00,0.00,0.00,Matches,b98570d1
298,Jake Livermore,eng ENG,MFDF,Hull City,26,1989,21,20,1670,18.6,0.05,0.00,0.05,0.05,0.00,0.00,0.16,0.05,0.05,0.00,0.05,0.05,0.05,Matches,b98570d1
299,Fernando Llorente,es ESP,FW,Swansea City,31,1985,33,28,2442,27.1,0.55,0.04,0.59,0.55,0.00,0.00,0.07,0.00,0.55,0.04,0.59,0.55,0.59,Matches,82dbf623
300,Hugo Lloris,fr FRA,GK,Tottenham,29,1986,34,34,3004,33.4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,8f62b6ee
301,Ruben Loftus-Cheek,eng ENG,MF,Chelsea,20,1996,6,0,35,0.4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,e97fd090
302,Kevin Long,ie IRL,DF,Burnley,25,1990,3,3,270,3.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,5a4280b1
303,Shane Long,ie IRL,FW,Southampton,29,1987,32,10,1321,14.7,0.20,0.14,0.34,0.20,0.00,0.07,0.14,0.00,0.20,0.14,0.34,0.20,0.34,Matches,9f472354
304,Ademola Lookman,ng NGA,FW,Everton,18,1997,8,3,289,3.2,0.31,0.00,0.31,0.31,0.00,0.00,0.00,0.00,0.31,0.00,0.31,0.31,0.31,Matches,7c104bb7
305,Donald Love,sct SCO,DF,Sunderland,21,1994,12,6,611,6.8,0.00,0.15,0.15,0.00,0.00,0.00,0.15,0.00,0.00,0.15,0.15,0.00,0.15,Matches,160599ed
306,Dejan Lovren,hr CRO,DF,Liverpool,27,1989,29,29,2553,28.4,0.07,0.04,0.11,0.07,0.00,0.00,0.21,0.00,0.07,0.04,0.11,0.07,0.11,Matches,1a2935f6
307,Matthew Lowton,eng ENG,DF,Burnley,27,1989,36,36,3240,36.0,0.00,0.06,0.06,0.00,0.00,0.00,0.25,0.00,0.00,0.06,0.06,0.00,0.06,Matches,9a9c05db
308,David Luiz,br BRA,DF,Chelsea,29,1987,33,33,2954,32.8,0.03,0.00,0.03,0.03,0.00,0.00,0.18,0.00,0.03,0.00,0.03,0.03,0.03,Matches,c0e27d1a
309,Romelu Lukaku,be BEL,FW,Everton,23,1993,37,36,3266,36.3,0.69,0.17,0.85,0.66,0.03,0.03,0.08,0.00,0.69,0.17,0.85,0.66,0.83,Matches,5eae500a
310,Harry Maguire,eng ENG,DF,Hull City,23,1993,29,25,2307,25.6,0.08,0.04,0.12,0.08,0.00,0.00,0.20,0.00,0.08,0.04,0.12,0.08,0.12,Matches,d8931174
311,Riyad Mahrez,dz ALG,MF,Leicester City,25,1991,36,33,2825,31.4,0.19,0.13,0.32,0.10,0.10,0.16,0.13,0.00,0.19,0.13,0.32,0.10,0.22,Matches,892d5bb1
312,Ainsley Maitland-Niles,eng ENG,DFFW,Arsenal,18,1997,1,0,2,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches,e3a5814e
313,Shaun Maloney,sct SCO,MF,Hull City,33,1983,9,2,283,3.1,0.32,0.65,0.97,0.32,0.00,0.00,0.00,0.00,0.32,0.64,0.95,0.32,0.95,Matches,0558e236
314,Steve Mandanda,fr FRA,GK,Crystal Palace,31,1985,9,9,810,9.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,1d2d5cc8
315,Sadio Mané,sn SEN,FW,Liverpool,24,1992,27,26,2235,24.8,0.52,0.20,0.73,0.52,0.00,0.00,0.16,0.00,0.52,0.20,0.72,0.52,0.72,Matches,c691bfe2
316,Vito Mannone,it ITA,GK,Sunderland,28,1988,9,9,810,9.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,c4173f1a
317,Javier Manquillo,es ESP,DFMF,Sunderland,22,1994,20,15,1430,15.9,0.06,0.00,0.06,0.06,0.00,0.00,0.13,0.00,0.06,0.00,0.06,0.06,0.06,Matches,758dd7f0
318,Adrian Mariappa,jm JAM,DF,Watford,29,1986,7,6,562,6.2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,8aa5f52c
319,Lazar Marković,rs SRB,MF,Hull City,22,1994,12,12,1005,11.2,0.18,0.00,0.18,0.18,0.00,0.00,0.36,0.00,0.18,0.00,0.18,0.18,0.18,Matches,723ba189
320,Dean Marney,eng ENG,MF,Burnley,32,1984,21,21,1764,19.6,0.05,0.10,0.15,0.05,0.00,0.00,0.36,0.00,0.05,0.10,0.15,0.05,0.15,Matches,b3379356
321,David Marshall,sct SCO,GK,Hull City,31,1985,16,16,1440,16.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,4d93d433
322,Anthony Martial,fr FRA,MFFW,Manchester Utd,20,1995,25,18,1554,17.3,0.23,0.29,0.52,0.23,0.00,0.00,0.12,0.00,0.23,0.29,0.52,0.23,0.52,Matches,8b788c01
323,Cuco Martina,cw CUW,DF,Southampton,26,1989,9,6,592,6.6,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,22551915
324,Emiliano Martínez,ar ARG,GK,Arsenal,23,1992,2,2,180,2.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,7956236f
325,Bruno Martins Indi,nl NED,DF,Stoke City,24,1992,35,35,3146,35.0,0.03,0.00,0.03,0.03,0.00,0.00,0.11,0.00,0.03,0.00,0.03,0.03,0.03,Matches,7bc34048
326,Brandon Mason,eng ENG,DF,Watford,18,1997,2,1,113,1.3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,1415840f
327,Ryan Mason,eng ENG,MF,Hull City,25,1991,16,11,927,10.3,0.10,0.10,0.19,0.10,0.00,0.00,0.39,0.00,0.10,0.10,0.19,0.10,0.19,Matches,c8fac933
328,Arthur Masuaku,cd COD,DFMF,West Ham,22,1993,13,11,972,10.8,0.00,0.09,0.09,0.00,0.00,0.00,0.09,0.00,0.00,0.09,0.09,0.00,0.09,Matches,57df7a11
329,Juan Mata,es ESP,MFFW,Manchester Utd,28,1988,25,19,1614,17.9,0.34,0.17,0.50,0.34,0.00,0.00,0.17,0.00,0.33,0.17,0.50,0.33,0.50,Matches,29733c72
330,Nemanja Matić,rs SRB,MF,Chelsea,27,1988,35,30,2694,29.9,0.03,0.23,0.27,0.03,0.00,0.00,0.13,0.00,0.03,0.23,0.27,0.03,0.27,Matches,eb7822d7
331,Joël Matip,cm CMR,DF,Liverpool,24,1991,29,27,2457,27.3,0.04,0.00,0.04,0.04,0.00,0.00,0.11,0.00,0.04,0.00,0.04,0.04,0.04,Matches,b217ef29
332,Alfie Mawson,eng ENG,DF,Swansea City,22,1994,27,27,2430,27.0,0.15,0.00,0.15,0.15,0.00,0.00,0.04,0.00,0.15,0.00,0.15,0.15,0.15,Matches,d368feb8
333,Dieumerci Mbokani,cd COD,FW,Hull City,30,1985,12,8,764,8.5,0.00,0.12,0.12,0.00,0.00,0.00,0.00,0.00,0.00,0.12,0.12,0.00,0.12,Matches,d9847696
334,James McArthur,sct SCO,MF,Crystal Palace,28,1987,29,24,1999,22.2,0.23,0.14,0.36,0.23,0.00,0.00,0.23,0.00,0.23,0.14,0.36,0.23,0.36,Matches,cee31595
335,Gareth McAuley,nir NIR,DF,West Brom,36,1979,36,36,3140,34.9,0.17,0.03,0.20,0.17,0.00,0.00,0.14,0.00,0.17,0.03,0.20,0.17,0.20,Matches,ac7d7378
336,Oliver McBurnie,sct SCO,FW,Swansea City,20,1996,5,0,82,0.9,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,78b8ac63
337,James McCarthy,ie IRL,MF,Everton,25,1990,12,7,613,6.8,0.15,0.15,0.29,0.15,0.00,0.00,0.29,0.00,0.15,0.15,0.29,0.15,0.29,Matches,64b08de7
338,James McClean,ie IRL,MFFW,West Brom,27,1989,34,13,1477,16.4,0.06,0.12,0.18,0.06,0.00,0.00,0.55,0.00,0.06,0.12,0.18,0.06,0.18,Matches,53538b39
339,Paddy McNair,nir NIR,MF,Sunderland,21,1995,9,5,353,3.9,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,8ac454b5
340,Sam McQueen,eng ENG,DF,Southampton,21,1995,13,5,616,6.8,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,b27b49b4
341,Scott McTominay,sct SCO,MF,Manchester Utd,19,1996,2,1,97,1.1,0.00,0.00,0.00,0.00,0.00,0.00,0.91,0.00,0.00,0.00,0.00,0.00,0.00,Matches,d93c2511
342,Ben Mee,eng ENG,DF,Burnley,26,1989,34,34,3015,33.5,0.03,0.00,0.03,0.03,0.00,0.00,0.15,0.00,0.03,0.00,0.03,0.03,0.03,Matches,8df7a2fb
343,Memphis,nl NED,FWMF,Manchester Utd,22,1994,4,0,24,0.3,0.00,0.00,0.00,0.00,0.00,0.00,3.33,0.00,0.00,0.00,0.00,0.00,0.00,Matches,8f696594
344,Nampalys Mendy,sn SEN,MF,Leicester City,24,1992,4,4,269,3.0,0.00,0.00,0.00,0.00,0.00,0.00,0.33,0.00,0.00,0.00,0.00,0.00,0.00,Matches,1598599e
345,Per Mertesacker,de GER,DF,Arsenal,31,1984,1,0,38,0.4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,5be28712
346,David Meyler,ie IRL,MFDF,Hull City,27,1989,20,9,962,10.7,0.09,0.09,0.19,0.09,0.00,0.00,0.19,0.00,0.09,0.09,0.19,0.09,0.19,Matches,8ea6417a
347,Simon Mignolet,be BEL,GK,Liverpool,28,1988,28,28,2520,28.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,d436eb94
348,Luka Milivojević,rs SRB,MF,Crystal Palace,25,1991,14,14,1224,13.6,0.15,0.07,0.22,0.00,0.15,0.15,0.29,0.00,0.15,0.07,0.22,0.00,0.07,Matches,2ce2508a
349,James Milner,eng ENG,DF,Liverpool,30,1986,36,36,3154,35.0,0.20,0.09,0.29,0.00,0.20,0.23,0.14,0.00,0.20,0.09,0.29,0.00,0.09,Matches,2f90f6b8
350,Tyrone Mings,eng ENG,DF,Bournemouth,23,1993,7,5,506,5.6,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,8397a50c
351,Kevin Mirallas,be BEL,FWMF,Everton,28,1987,35,23,2074,23.0,0.17,0.30,0.48,0.17,0.00,0.00,0.09,0.00,0.17,0.30,0.48,0.17,0.48,Matches,aa51343f
352,Demetri Mitchell,eng ENG,DF,Manchester Utd,19,1997,1,1,90,1.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,c286f3c2
353,Henrikh Mkhitaryan,am ARM,FWMF,Manchester Utd,27,1989,24,15,1348,15.0,0.27,0.07,0.33,0.27,0.00,0.00,0.07,0.00,0.27,0.07,0.33,0.27,0.33,Matches,dd0daf32
354,Nacho Monreal,es ESP,DF,Arsenal,30,1986,36,35,3153,35.0,0.00,0.06,0.06,0.00,0.00,0.00,0.14,0.00,0.00,0.06,0.06,0.00,0.06,Matches,d4cb83cc
355,Jefferson Montero,ec ECU,MFFW,Swansea City,26,1989,13,2,489,5.4,0.00,0.19,0.19,0.00,0.00,0.00,0.00,0.00,0.00,0.18,0.18,0.00,0.18,Matches,fa6561bf
356,Alberto Moreno,es ESP,DF,Liverpool,24,1992,12,2,305,3.4,0.00,0.00,0.00,0.00,0.00,0.00,0.29,0.00,0.00,0.00,0.00,0.00,0.00,Matches,11b9265b
357,Wes Morgan,jm JAM,DF,Leicester City,32,1984,27,27,2430,27.0,0.04,0.00,0.04,0.04,0.00,0.00,0.11,0.00,0.04,0.00,0.04,0.04,0.04,Matches,80c31c97
358,James Morrison,sct SCO,MF,West Brom,30,1986,31,17,1740,19.3,0.26,0.10,0.36,0.26,0.00,0.00,0.16,0.00,0.26,0.10,0.36,0.26,0.36,Matches,21a66e33
359,Victor Moses,ng NGA,MF,Chelsea,25,1990,34,29,2483,27.6,0.11,0.07,0.18,0.11,0.00,0.00,0.14,0.00,0.11,0.07,0.18,0.11,0.18,Matches,e726e11e
360,Lys Mousset,fr FRA,FW,Bournemouth,20,1996,11,3,270,3.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,d9cfca3d
361,Marc Muniesa,es ESP,DF,Stoke City,24,1992,10,7,650,7.2,0.14,0.00,0.14,0.14,0.00,0.00,0.28,0.00,0.14,0.00,0.14,0.14,0.14,Matches,4db76f57
362,Ahmed Musa,ng NGA,MFFW,Leicester City,23,1992,21,7,761,8.5,0.24,0.12,0.35,0.24,0.00,0.00,0.12,0.00,0.24,0.12,0.35,0.24,0.35,Matches,b7084daf
363,Shkodran Mustafi,de GER,DF,Arsenal,24,1992,26,26,2274,25.3,0.08,0.08,0.16,0.08,0.00,0.00,0.43,0.00,0.08,0.08,0.16,0.08,0.16,Matches,3f2d59fe
364,Jordon Mutch,eng ENG,MF,Crystal Palace,24,1991,4,0,53,0.6,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,37c408cc
365,Alfred N'Diaye,sn SEN,MF,Hull City,26,1990,15,15,1273,14.1,0.07,0.00,0.07,0.07,0.00,0.00,0.50,0.00,0.07,0.00,0.07,0.07,0.07,Matches,7789bf63
366,Georges-Kévin N'Koudou,cm CMR,MF,Tottenham,21,1995,8,0,54,0.6,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,76c131da
367,Luciano Narsingh,nl NED,FW,Swansea City,25,1990,13,3,416,4.6,0.00,0.43,0.43,0.00,0.00,0.00,0.00,0.00,0.00,0.43,0.43,0.00,0.43,Matches,977ffc24
368,Samir Nasri,fr FRA,FWMF,Manchester City,29,1987,1,0,16,0.2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,165bed61
369,Kyle Naughton,eng ENG,DF,Swansea City,27,1988,31,31,2714,30.2,0.03,0.00,0.03,0.03,0.00,0.00,0.17,0.00,0.03,0.00,0.03,0.03,0.03,Matches,e860c42f
370,Jesús Navas,es ESP,MFDF,Manchester City,30,1985,24,12,1064,11.8,0.00,0.08,0.08,0.00,0.00,0.00,0.17,0.00,0.00,0.08,0.08,0.00,0.08,Matches,3f10bd22
371,Wilfred Ndidi,ng NGA,MF,Leicester City,19,1996,17,17,1521,16.9,0.12,0.06,0.18,0.12,0.00,0.00,0.00,0.00,0.12,0.06,0.18,0.12,0.18,Matches,6b47c5db
372,Álvaro Negredo,es ESP,FW,Middlesbrough,30,1985,36,33,2870,31.9,0.28,0.16,0.44,0.22,0.06,0.06,0.16,0.00,0.28,0.16,0.44,0.22,0.38,Matches,63b0ca6b
373,Julien Ngoy,be BEL,FWMF,Stoke City,18,1997,5,0,49,0.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,87449a74
374,M'Baye Niang,sn SEN,MFFW,Watford,21,1994,16,15,1246,13.8,0.14,0.14,0.29,0.14,0.00,0.00,0.14,0.00,0.14,0.14,0.29,0.14,0.29,Matches,2054d037
375,Oumar Niasse,sn SEN,FW,Hull City,26,1990,17,12,1097,12.2,0.33,0.08,0.41,0.33,0.00,0.00,0.25,0.08,0.33,0.08,0.41,0.33,0.41,Matches,af721f98
376,Mark Noble,eng ENG,MF,West Ham,29,1987,30,29,2389,26.5,0.11,0.00,0.11,0.08,0.04,0.08,0.38,0.00,0.11,0.00,0.11,0.08,0.08,Matches,ff527768
377,Nolito,es ESP,MFFW,Manchester City,29,1986,19,9,778,8.6,0.47,0.23,0.70,0.47,0.00,0.00,0.35,0.12,0.46,0.23,0.69,0.46,0.69,Matches,b2d0ec1b
378,Kristoffer Nordfeldt,se SWE,GK,Swansea City,27,1989,1,1,90,1.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,78549904
379,Håvard Nordtveit,no NOR,DFMF,West Ham,26,1990,16,11,957,10.6,0.00,0.09,0.09,0.00,0.00,0.00,0.19,0.00,0.00,0.09,0.09,0.00,0.09,Matches,6cafd68d
380,Emilio Nsue,gq EQG,DFMF,Middlesbrough,26,1989,4,4,320,3.6,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,1c9bc4fa
