Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,-9999
167,Ben Godfrey,eng ENG,DF,Norwich City,21,1998,30,30,2644,29.4,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.03,0.02,0.02,0.00,0.03,0.78,2.59,0.07,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.03,0.02,0.03,Matches,9f7c837d
168,André Gomes,pt POR,MF,Everton,26,1993,19,17,1458,16.2,0.00,0.06,0.06,0.00,0.00,0.00,0.37,0.00,0.01,0.01,0.07,0.07,0.62,6.48,0.99,0.00,0.06,0.06,0.00,0.06,0.01,0.07,0.08,0.01,0.08,Matches,1961b2aa
169,Angel Gomes,eng ENG,MF,Manchester Utd,18,2000,2,0,21,0.2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.50,10.0,20.0,10.0,0.00,0.00,0.00,0.00,0.00,0.00,0.59,0.59,0.00,0.59,Matches,645a3363
170,Joe Gomez,eng ENG,DF,Liverpool,22,1997,28,22,2004,22.3,0.00,0.00,0.00,0.00,0.00,0.00,0.31,0.00,0.00,0.00,0.01,0.01,0.76,5.16,0.49,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01,Matches,7a11550b
171,Anthony Gordon,eng ENG,MFFW,Everton,18,2001,11,4,440,4.9,0.00,0.20,0.20,0.00,0.00,0.00,0.00,0.00,0.06,0.06,0.08,0.14,2.65,1.84,5.31,0.00,0.20,0.20,0.00,0.20,0.06,0.08,0.14,0.06,0.14,Matches,2bd83368
172,Dan Gosling,eng ENG,MF,Bournemouth,29,1990,24,14,1264,14.0,0.21,0.07,0.29,0.21,0.00,0.00,0.21,0.00,0.21,0.21,0.08,0.29,0.71,3.93,2.57,0.21,0.07,0.28,0.21,0.28,0.21,0.08,0.28,0.21,0.28,Matches,7fec31a0
173,Andre Gray,jm JAM,FW,Watford,28,1991,23,7,755,8.4,0.24,0.00,0.24,0.24,0.00,0.00,0.12,0.00,0.29,0.29,0.21,0.50,0.71,1.79,7.62,0.24,0.00,0.24,0.24,0.24,0.29,0.21,0.50,0.29,0.50,Matches,c24dba2a
174,Demarai Gray,eng ENG,MFFW,Leicester City,23,1996,21,3,622,6.9,0.29,0.43,0.72,0.29,0.00,0.14,0.14,0.00,0.41,0.29,0.30,0.58,5.80,3.04,11.3,0.29,0.43,0.72,0.29,0.72,0.40,0.30,0.70,0.28,0.59,Matches,4468ec10
175,Jack Grealish,eng ENG,FWMF,Aston Villa,23,1995,36,36,3233,35.9,0.22,0.17,0.39,0.22,0.00,0.03,0.22,0.00,0.19,0.17,0.21,0.37,5.91,5.49,5.82,0.22,0.17,0.39,0.22,0.39,0.19,0.21,0.40,0.17,0.37,Matches,b0b4fd3e
176,Mason Greenwood,eng ENG,FW,Manchester Utd,17,2001,31,12,1320,14.7,0.68,0.07,0.75,0.68,0.00,0.00,0.00,0.00,0.20,0.20,0.07,0.27,2.18,2.52,7.89,0.68,0.07,0.75,0.68,0.75,0.20,0.07,0.27,0.20,0.27,Matches,58eee997
177,Pascal Groß,de GER,MFFW,Brighton,28,1991,29,22,1796,20.0,0.10,0.20,0.30,0.10,0.00,0.00,0.20,0.00,0.08,0.08,0.27,0.35,1.80,6.75,9.90,0.10,0.20,0.30,0.10,0.30,0.08,0.26,0.34,0.08,0.34,Matches,8aec0537
178,Vicente Guaita,es ESP,GK,Crystal Palace,32,1987,35,35,3150,35.0,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,ab13a5aa
179,Mattéo Guendouzi,fr FRA,MF,Arsenal,20,1999,24,19,1748,19.4,0.00,0.05,0.05,0.00,0.00,0.00,0.31,0.00,0.04,0.04,0.06,0.10,2.58,8.25,1.39,0.00,0.05,0.05,0.00,0.05,0.04,0.06,0.10,0.04,0.10,Matches,5ea8ef20
180,Frederic Guilbert,fr FRA,DFMF,Aston Villa,24,1994,25,22,2041,22.7,0.00,0.09,0.09,0.00,0.00,0.00,0.31,0.00,0.01,0.01,0.07,0.08,2.47,3.57,4.23,0.00,0.09,0.09,0.00,0.09,0.02,0.07,0.08,0.02,0.08,Matches,5d8d7454
181,İlkay Gündoğan,de GER,MF,Manchester City,28,1990,31,21,2020,22.4,0.09,0.04,0.13,0.04,0.04,0.09,0.31,0.00,0.18,0.11,0.09,0.20,1.74,9.02,2.50,0.09,0.04,0.13,0.04,0.09,0.18,0.10,0.27,0.11,0.20,Matches,819b3158
182,Angus Gunn,sct SCO,GK,Southampton,23,1996,10,10,900,10.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,e082af5b
183,Sébastien Haller,ci CIV,FW,West Ham,25,1994,32,24,2266,25.2,0.28,0.04,0.32,0.28,0.00,0.00,0.04,0.00,0.32,0.32,0.10,0.42,0.67,2.34,5.56,0.28,0.04,0.32,0.28,0.32,0.32,0.10,0.42,0.32,0.42,Matches,ba115a40
184,Grant Hanley,sct SCO,DF,Norwich City,27,1991,15,14,1262,14.0,0.00,0.00,0.00,0.00,0.00,0.00,0.29,0.00,0.04,0.04,0.00,0.04,0.00,1.21,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.04,0.04,0.04,Matches,e9254eec
185,Kortney Hause,eng ENG,DF,Aston Villa,24,1995,18,17,1545,17.2,0.06,0.00,0.06,0.06,0.00,0.00,0.17,0.00,0.15,0.15,0.03,0.17,0.47,2.67,0.23,0.06,0.00,0.06,0.06,0.06,0.14,0.03,0.17,0.14,0.17,Matches,bf8fad51
186,Isaac Hayden,eng ENG,MF,Newcastle Utd,24,1995,29,26,2223,24.7,0.04,0.08,0.12,0.04,0.00,0.00,0.16,0.04,0.05,0.05,0.09,0.14,0.97,2.11,1.21,0.04,0.08,0.12,0.04,0.12,0.05,0.09,0.14,0.05,0.14,Matches,c951a6df
187,Tom Heaton,eng ENG,GK,Aston Villa,33,1986,20,20,1794,19.9,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,a6de6361
188,Dean Henderson,eng ENG,GK,Sheffield Utd,22,1997,36,36,3240,36.0,0.00,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,e5a76dfe
189,Jordan Henderson,eng ENG,MF,Liverpool,29,1990,30,26,2238,24.9,0.16,0.20,0.36,0.16,0.00,0.00,0.08,0.00,0.04,0.04,0.12,0.17,2.05,7.91,3.09,0.16,0.20,0.36,0.16,0.36,0.04,0.13,0.17,0.04,0.17,Matches,935e6b8f
190,Jeff Hendrick,ie IRL,MF,Burnley,27,1992,24,22,1931,21.5,0.09,0.09,0.19,0.09,0.00,0.00,0.37,0.00,0.08,0.08,0.07,0.15,1.12,1.86,2.84,0.09,0.09,0.19,0.09,0.19,0.08,0.07,0.16,0.08,0.16,Matches,989d5705
191,Wayne Hennessey,wls WAL,GK,Crystal Palace,32,1987,3,3,270,3.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,76eca7e2
192,Javier Hernández,mx MEX,FW,West Ham,31,1988,2,1,107,1.2,0.83,0.00,0.83,0.83,0.00,0.00,0.00,0.00,0.83,0.83,0.00,0.83,0.00,2.50,3.33,0.84,0.00,0.84,0.84,0.84,0.82,0.00,0.82,0.82,0.82,Matches,189cee7b
193,Onel Hernández,cu CUB,FWMF,Norwich City,26,1993,26,14,1384,15.4,0.06,0.13,0.19,0.06,0.00,0.00,0.00,0.00,0.14,0.14,0.06,0.21,4.68,1.43,8.05,0.07,0.13,0.20,0.07,0.20,0.15,0.06,0.21,0.15,0.21,Matches,007b39a5
194,Son Heung-min,kr KOR,FW,Tottenham,27,1992,30,28,2476,27.5,0.40,0.36,0.76,0.40,0.00,0.04,0.00,0.07,0.32,0.29,0.23,0.52,3.27,2.58,7.82,0.40,0.36,0.76,0.40,0.76,0.32,0.23,0.56,0.29,0.53,Matches,92e7e919
195,George Hirst,eng ENG,MFDF,Leicester City,20,1999,2,0,11,0.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,1.00,0.00,0.00,10.0,0.00,0.00,0.00,0.00,0.00,1.21,0.00,1.21,1.21,1.21,Matches,78e87179
196,Rob Holding,eng ENG,DF,Arsenal,23,1995,8,6,581,6.5,0.00,0.00,0.00,0.00,0.00,0.00,0.15,0.00,0.03,0.03,0.00,0.03,0.46,2.46,0.15,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03,Matches,d79a8c87
197,José Holebas,gr GRE,DF,Watford,35,1984,14,11,1025,11.4,0.00,0.00,0.00,0.00,0.00,0.00,0.44,0.00,0.03,0.03,0.06,0.10,2.02,4.47,2.37,0.00,0.00,0.00,0.00,0.00,0.03,0.06,0.09,0.03,0.09,Matches,12aa7661
198,Mason Holgate,eng ENG,DF,Everton,22,1996,27,24,2054,22.8,0.00,0.13,0.13,0.00,0.00,0.00,0.22,0.00,0.07,0.07,0.03,0.11,0.79,2.54,0.18,0.00,0.13,0.13,0.00,0.13,0.08,0.03,0.10,0.08,0.10,Matches,d0042ab9
199,Nathan Holland,eng ENG,MF,West Ham,21,1998,2,0,33,0.4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.50,2.50,15.0,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.06,0.06,0.06,Matches,45ab2170
200,Conor Hourihane,ie IRL,MF,Aston Villa,28,1991,27,18,1534,17.0,0.18,0.29,0.47,0.18,0.00,0.00,0.24,0.00,0.10,0.10,0.35,0.45,0.53,4.41,3.35,0.18,0.29,0.47,0.18,0.47,0.10,0.35,0.45,0.10,0.45,Matches,fcab00a0
201,Callum Hudson-Odoi,eng ENG,FWMF,Chelsea,18,2000,22,7,863,9.6,0.10,0.52,0.63,0.10,0.00,0.00,0.10,0.00,0.20,0.20,0.21,0.42,6.56,4.48,12.1,0.10,0.52,0.63,0.10,0.63,0.20,0.21,0.41,0.20,0.41,Matches,15f3ec41
202,Will Hughes,eng ENG,MF,Watford,24,1995,30,27,2252,25.0,0.04,0.04,0.08,0.04,0.00,0.00,0.36,0.00,0.09,0.09,0.08,0.18,1.60,3.48,2.40,0.04,0.04,0.08,0.04,0.08,0.09,0.08,0.17,0.09,0.17,Matches,a0666d3e
203,Pierre Højbjerg,dk DEN,MF,Southampton,23,1995,33,30,2752,30.6,0.00,0.03,0.03,0.00,0.00,0.00,0.16,0.00,0.10,0.10,0.06,0.16,1.08,7.16,1.80,0.00,0.03,0.03,0.00,0.03,0.11,0.06,0.16,0.11,0.16,Matches,8b04d6c1
204,Jordon Ibe,eng ENG,DF,Bournemouth,23,1995,2,0,50,0.6,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.67,3.33,6.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,9f736ed2
205,Adam Idah,ie IRL,FWMF,Norwich City,18,2001,12,1,228,2.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.40,0.40,0.00,0.44,2.00,0.80,4.40,0.00,0.00,0.00,0.00,0.00,0.40,0.02,0.41,0.40,0.41,Matches,291e3ec3
206,Odion Ighalo,ng NGA,FW,Manchester Utd,30,1989,11,0,101,1.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.73,1.73,0.09,1.82,1.82,1.82,11.8,0.00,0.00,0.00,0.00,0.00,1.68,0.07,1.75,1.68,1.75,Matches,03622183
207,Kelechi Iheanacho,ng NGA,FW,Leicester City,22,1996,20,12,960,10.7,0.47,0.28,0.75,0.47,0.00,0.00,0.09,0.00,0.56,0.56,0.24,0.80,2.06,2.71,8.22,0.47,0.28,0.75,0.47,0.75,0.56,0.24,0.80,0.56,0.80,Matches,c92e1a31
208,Danny Ings,eng ENG,FW,Southampton,27,1992,38,32,2804,31.2,0.71,0.06,0.77,0.67,0.03,0.06,0.10,0.00,0.52,0.47,0.09,0.55,1.60,2.40,6.22,0.71,0.06,0.77,0.67,0.74,0.52,0.09,0.61,0.47,0.56,Matches,07802f7f
209,Alex Iwobi,ng NGA,MFFW,Everton,23,1996,25,19,1596,17.7,0.06,0.00,0.06,0.06,0.00,0.00,0.00,0.00,0.14,0.14,0.11,0.25,3.39,5.99,4.75,0.06,0.00,0.06,0.06,0.06,0.14,0.11,0.25,0.14,0.25,Matches,6ca5ec4b
210,Phil Jagielka,eng ENG,DF,Sheffield Utd,36,1982,6,2,244,2.7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,3233eefd
211,Alireza Jahanbakhsh,ir IRN,FWMF,Brighton,25,1993,10,3,311,3.5,0.57,0.00,0.57,0.57,0.00,0.00,0.00,0.00,0.17,0.17,0.17,0.34,2.29,3.43,14.6,0.58,0.00,0.58,0.58,0.58,0.17,0.18,0.35,0.17,0.35,Matches,08452314
212,Daniel James,wls WAL,FW,Manchester Utd,21,1997,33,26,2287,25.4,0.12,0.24,0.35,0.12,0.00,0.00,0.16,0.00,0.12,0.12,0.15,0.28,5.51,2.36,10.4,0.12,0.24,0.35,0.12,0.35,0.12,0.15,0.28,0.12,0.28,Matches,c931d9f9
213,Matty James,eng ENG,MF,Leicester City,28,1991,1,0,6,0.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,10.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,ebd0a048
214,Reece James,eng ENG,DF,Chelsea,19,1999,24,16,1515,16.8,0.00,0.12,0.12,0.00,0.00,0.00,0.06,0.00,0.05,0.05,0.16,0.21,2.56,5.83,6.85,0.00,0.12,0.12,0.00,0.12,0.04,0.16,0.21,0.04,0.21,Matches,1265a93a
215,Daryl Janmaat,nl NED,DF,Watford,30,1989,8,7,607,6.7,0.00,0.15,0.15,0.00,0.00,0.00,0.15,0.00,0.04,0.04,0.07,0.12,2.24,4.33,4.48,0.00,0.15,0.15,0.00,0.15,0.04,0.07,0.11,0.04,0.11,Matches,45da6694
216,Gabriel Jesus,br BRA,FW,Manchester City,22,1997,34,21,2030,22.6,0.62,0.31,0.93,0.62,0.00,0.04,0.13,0.00,0.81,0.77,0.14,0.91,2.43,1.64,8.98,0.62,0.31,0.93,0.62,0.93,0.81,0.14,0.95,0.77,0.91,Matches,b66315ae
217,Raúl Jiménez,mx MEX,FW,Wolves,28,1991,38,37,3236,36.0,0.47,0.17,0.64,0.36,0.11,0.11,0.08,0.00,0.46,0.37,0.19,0.57,2.47,2.83,6.19,0.47,0.17,0.64,0.36,0.53,0.46,0.19,0.65,0.37,0.57,Matches,b561db50
218,João Pedro,br BRA,FWMF,Watford,17,2001,3,0,25,0.3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,6.67,3.33,10.0,0.00,0.00,0.00,0.00,0.00,0.18,0.00,0.18,0.18,0.18,Matches,e8832875
219,Joelinton,br BRA,FW,Newcastle Utd,22,1996,38,32,2683,29.8,0.07,0.07,0.13,0.07,0.00,0.00,0.23,0.00,0.18,0.18,0.10,0.28,1.58,1.88,4.46,0.07,0.07,0.13,0.07,0.13,0.18,0.10,0.28,0.18,0.28,Matches,c17bfb65
220,Ben Johnson,eng ENG,DF,West Ham,19,2000,3,3,270,3.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,2.33,6.33,2.67,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02,Matches,9319781b
221,Curtis Jones,eng ENG,MF,Liverpool,18,2001,6,1,126,1.4,0.71,0.00,0.71,0.71,0.00,0.00,0.00,0.00,0.29,0.29,0.00,0.29,2.86,6.43,5.00,0.71,0.00,0.71,0.71,0.71,0.32,0.00,0.32,0.32,0.32,Matches,4fb9c88f
222,Phil Jones,eng ENG,DF,Manchester Utd,27,1992,2,2,135,1.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.07,0.00,0.07,1.33,4.67,0.67,0.00,0.00,0.00,0.00,0.00,0.09,0.00,0.09,0.09,0.09,Matches,def899bd
223,Bruno Jordão,pt POR,FW,Wolves,20,1998,1,0,7,0.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,10.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.82,0.82,0.00,0.82,Matches,41ff002d
224,Jorginho,it ITA,MF,Chelsea,27,1991,31,27,2379,26.4,0.15,0.08,0.23,0.04,0.11,0.11,0.38,0.00,0.12,0.03,0.11,0.14,0.91,8.26,1.10,0.15,0.08,0.23,0.04,0.11,0.12,0.11,0.23,0.03,0.14,Matches,45db685d
225,Jota,es ESP,FWMF,Aston Villa,28,1991,10,4,335,3.7,0.00,0.27,0.27,0.00,0.00,0.00,0.00,0.00,0.08,0.08,0.16,0.24,2.70,3.78,6.22,0.00,0.27,0.27,0.00,0.27,0.08,0.15,0.23,0.08,0.23,Matches,9f351459
226,Diogo Jota,pt POR,FW,Wolves,22,1996,34,27,2284,25.4,0.28,0.04,0.31,0.28,0.00,0.00,0.16,0.00,0.45,0.45,0.11,0.56,5.16,2.68,7.87,0.28,0.04,0.32,0.28,0.32,0.45,0.11,0.56,0.45,0.56,Matches,178ae8f8
227,James Justin,eng ENG,DFMF,Leicester City,21,1998,13,11,1012,11.2,0.00,0.09,0.09,0.00,0.00,0.00,0.09,0.00,0.03,0.03,0.09,0.12,2.68,5.00,5.27,0.00,0.09,0.09,0.00,0.09,0.03,0.09,0.11,0.03,0.11,Matches,fb614c44
228,Christian Kabasele,be BEL,DF,Watford,28,1991,27,26,2250,25.0,0.00,0.08,0.08,0.00,0.00,0.00,0.12,0.08,0.04,0.04,0.04,0.07,0.04,1.44,0.00,0.00,0.08,0.08,0.00,0.08,0.04,0.03,0.07,0.04,0.07,Matches,914ab9a1
229,Harry Kane,eng ENG,FW,Tottenham,26,1993,29,29,2587,28.7,0.63,0.07,0.70,0.56,0.07,0.07,0.14,0.00,0.44,0.38,0.11,0.49,1.60,2.65,6.06,0.63,0.07,0.70,0.56,0.63,0.43,0.11,0.55,0.38,0.49,Matches,21a66f6a
230,N'Golo Kanté,fr FRA,MF,Chelsea,28,1991,22,20,1732,19.2,0.16,0.00,0.16,0.16,0.00,0.00,0.21,0.00,0.07,0.07,0.08,0.15,2.14,6.88,3.28,0.16,0.00,0.16,0.16,0.16,0.07,0.08,0.15,0.07,0.15,Matches,b9fbae28
231,Moise Kean,it ITA,FW,Everton,19,2000,29,6,852,9.5,0.21,0.21,0.42,0.21,0.00,0.00,0.11,0.00,0.42,0.42,0.21,0.63,2.74,1.26,6.32,0.21,0.21,0.42,0.21,0.42,0.42,0.21,0.63,0.42,0.63,Matches,3d50bcdb
232,Michael Keane,eng ENG,DF,Everton,26,1993,31,28,2559,28.4,0.07,0.00,0.07,0.07,0.00,0.00,0.11,0.00,0.07,0.07,0.02,0.09,0.32,2.96,0.11,0.07,0.00,0.07,0.07,0.07,0.07,0.02,0.09,0.07,0.09,Matches,c5b7c315
233,Naby Keïta,gn GUI,MF,Liverpool,24,1995,18,9,815,9.1,0.22,0.33,0.55,0.22,0.00,0.00,0.11,0.00,0.18,0.18,0.30,0.48,3.85,7.58,3.96,0.22,0.33,0.55,0.22,0.55,0.18,0.30,0.48,0.18,0.48,Matches,f25c8e3a
234,Lloyd Kelly,eng ENG,DF,Bournemouth,20,1998,8,7,639,7.1,0.00,0.00,0.00,0.00,0.00,0.00,0.28,0.00,0.00,0.00,0.04,0.04,0.85,1.27,1.27,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.05,0.00,0.05,Matches,f31def1e
235,Martin Kelly,eng ENG,DF,Crystal Palace,29,1990,19,17,1549,17.2,0.00,0.06,0.06,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.05,0.05,0.35,2.03,0.81,0.00,0.06,0.06,0.00,0.06,0.00,0.05,0.05,0.00,0.05,Matches,d7492450
236,Max Kilman,eng ENG,DF,Wolves,22,1997,3,2,185,2.1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.76,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,d0f72bf1
237,Joshua King,no NOR,FWMF,Bournemouth,27,1992,26,24,2011,22.3,0.27,0.18,0.45,0.13,0.13,0.13,0.00,0.00,0.29,0.18,0.18,0.37,2.69,2.06,6.77,0.27,0.18,0.45,0.13,0.31,0.29,0.18,0.47,0.18,0.37,Matches,43458538
238,Timm Klose,ch SUI,DF,Norwich City,31,1988,7,7,585,6.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.03,0.62,2.62,0.15,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03,Matches,5f1d07f6
239,Jonathan Kodjia,ci CIV,FW,Aston Villa,29,1989,6,0,117,1.3,0.00,0.00,0.00,0.00,0.00,0.00,0.77,0.00,0.08,0.08,0.08,0.15,3.08,0.77,7.69,0.00,0.00,0.00,0.00,0.00,0.09,0.05,0.14,0.09,0.14,Matches,ecf44e09
240,Sead Kolašinac,ba BIH,DF,Arsenal,26,1993,26,19,1701,18.9,0.00,0.11,0.11,0.00,0.00,0.00,0.21,0.00,0.02,0.02,0.07,0.09,1.90,3.92,4.66,0.00,0.11,0.11,0.00,0.11,0.02,0.07,0.09,0.02,0.09,Matches,3935e52e
241,Ezri Konsa,eng ENG,DF,Aston Villa,21,1997,25,24,2039,22.7,0.04,0.09,0.13,0.04,0.00,0.00,0.13,0.00,0.07,0.07,0.04,0.11,0.35,2.33,0.57,0.04,0.09,0.13,0.04,0.13,0.06,0.04,0.11,0.06,0.11,Matches,0313a347
242,Cheikhou Kouyaté,sn SEN,MFDF,Crystal Palace,29,1989,35,29,2528,28.1,0.04,0.04,0.07,0.04,0.00,0.00,0.14,0.00,0.10,0.10,0.03,0.13,0.43,2.28,1.96,0.04,0.04,0.07,0.04,0.07,0.10,0.03,0.13,0.10,0.13,Matches,8d3c902d
243,Mateo Kovačić,hr CRO,MF,Chelsea,25,1994,31,23,2073,23.0,0.04,0.13,0.17,0.04,0.00,0.00,0.35,0.00,0.04,0.04,0.08,0.12,3.13,9.35,1.35,0.04,0.13,0.17,0.04,0.17,0.04,0.08,0.12,0.04,0.12,Matches,79c0821a
244,Emil Krafth,se SWE,DF,Newcastle Utd,24,1994,17,11,1020,11.3,0.00,0.09,0.09,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.05,0.09,0.97,1.68,1.77,0.00,0.09,0.09,0.00,0.09,0.03,0.06,0.08,0.03,0.08,Matches,77cf6852
245,Tim Krul,nl NED,GK,Norwich City,31,1988,36,36,3240,36.0,0.00,0.00,0.00,0.00,0.00,0.00,0.11,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,f23f9d20
246,Alexandre Lacazette,fr FRA,FW,Arsenal,28,1991,30,22,1874,20.8,0.48,0.19,0.67,0.48,0.00,0.00,0.38,0.00,0.39,0.39,0.14,0.53,1.01,2.36,6.59,0.48,0.19,0.67,0.48,0.67,0.39,0.14,0.53,0.39,0.53,Matches,9dbb75ca
247,Adam Lallana,eng ENG,MFFW,Liverpool,31,1988,15,3,382,4.2,0.24,0.24,0.48,0.24,0.00,0.00,0.24,0.00,0.19,0.19,0.14,0.31,2.14,5.48,4.05,0.24,0.24,0.47,0.24,0.47,0.18,0.14,0.31,0.18,0.31,Matches,99813635
248,Érik Lamela,ar ARG,MFFW,Tottenham,27,1992,25,12,1215,13.5,0.15,0.07,0.22,0.15,0.00,0.00,0.22,0.00,0.21,0.21,0.08,0.30,3.78,3.33,6.22,0.15,0.07,0.22,0.15,0.22,0.22,0.08,0.30,0.22,0.30,Matches,abe66106
249,Tariq Lamptey,gh GHA,DF,Chelsea,18,2000,1,0,32,0.4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.25,0.25,2.50,5.00,2.50,0.00,0.00,0.00,0.00,0.00,0.00,0.18,0.18,0.00,0.18,Matches,f4e433d4
250,Tariq Lamptey,gh GHA,DF,Brighton,18,2000,8,7,588,6.5,0.00,0.15,0.15,0.00,0.00,0.00,0.31,0.00,0.02,0.02,0.15,0.17,2.62,2.31,4.92,0.00,0.15,0.15,0.00,0.15,0.01,0.15,0.16,0.01,0.16,Matches,f4e433d4
251,Henri Lansbury,eng ENG,MF,Aston Villa,28,1990,10,2,195,2.2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05,0.05,0.05,0.09,0.00,3.18,0.91,0.00,0.00,0.00,0.00,0.00,0.04,0.03,0.07,0.04,0.07,Matches,fe8e6fa1
252,Manuel Lanzini,ar ARG,MFFW,West Ham,26,1993,24,14,1379,15.3,0.00,0.13,0.13,0.00,0.00,0.00,0.07,0.00,0.14,0.14,0.14,0.29,3.01,5.03,3.86,0.00,0.13,0.13,0.00,0.13,0.14,0.15,0.29,0.14,0.29,Matches,26f6dca8
253,Aymeric Laporte,es ESP,DF,Manchester City,25,1994,15,14,1097,12.2,0.08,0.00,0.08,0.08,0.00,0.00,0.08,0.00,0.04,0.04,0.01,0.06,1.89,9.18,0.25,0.08,0.00,0.08,0.08,0.08,0.04,0.01,0.05,0.04,0.05,Matches,119b9a8e
254,Jamaal Lascelles,eng ENG,DF,Newcastle Utd,25,1993,24,24,2076,23.1,0.04,0.00,0.04,0.04,0.00,0.00,0.22,0.00,0.02,0.02,0.01,0.03,0.13,0.91,0.04,0.04,0.00,0.04,0.04,0.04,0.02,0.01,0.03,0.02,0.03,Matches,450ab6fc
255,Valentino Lazaro,at AUT,DFMF,Newcastle Utd,23,1996,13,4,480,5.3,0.19,0.00,0.19,0.19,0.00,0.00,0.00,0.19,0.08,0.08,0.04,0.11,1.32,1.32,2.64,0.19,0.00,0.19,0.19,0.19,0.07,0.04,0.11,0.07,0.11,Matches,016ff750
