Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,-9999
29,César Azpilicueta,es ESP,DF,Chelsea,29,1989,36,36,3229,35.9,0.06,0.17,0.22,0.06,0.00,0.00,0.03,0.00,0.07,0.07,0.17,0.24,1.64,5.38,6.30,0.06,0.17,0.22,0.06,0.22,0.07,0.17,0.24,0.07,0.24,Matches,53cad200
30,Eric Bailly,ci CIV,DF,Manchester Utd,25,1994,4,1,150,1.7,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.59,2.35,0.59,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,a1232f4e
31,Leighton Baines,eng ENG,DF,Everton,34,1984,8,4,404,4.5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.18,0.20,2.67,2.22,4.00,0.00,0.00,0.00,0.00,0.00,0.01,0.18,0.20,0.01,0.20,Matches,b18095b6
32,Fabián Balbuena,py PAR,DF,West Ham,27,1991,17,13,1177,13.1,0.08,0.00,0.08,0.08,0.00,0.00,0.15,0.00,0.11,0.11,0.04,0.15,0.61,2.67,0.15,0.08,0.00,0.08,0.08,0.08,0.12,0.03,0.15,0.12,0.15,Matches,3626f7d9
33,George Baldock,gr GRE,DF,Sheffield Utd,26,1993,38,38,3420,38.0,0.05,0.08,0.13,0.05,0.00,0.00,0.18,0.00,0.02,0.02,0.04,0.06,2.55,2.71,5.18,0.05,0.08,0.13,0.05,0.13,0.02,0.05,0.06,0.02,0.06,Matches,394854c4
34,Phil Bardsley,sct SCO,DF,Burnley,34,1985,21,21,1890,21.0,0.00,0.05,0.05,0.00,0.00,0.00,0.29,0.00,0.01,0.01,0.07,0.08,1.10,3.33,1.29,0.00,0.05,0.05,0.00,0.05,0.02,0.07,0.08,0.02,0.08,Matches,1ae30132
35,Ross Barkley,eng ENG,MF,Chelsea,25,1993,21,13,1103,12.3,0.08,0.33,0.41,0.08,0.00,0.00,0.00,0.00,0.22,0.22,0.19,0.41,3.74,5.20,5.12,0.08,0.33,0.41,0.08,0.41,0.22,0.19,0.41,0.22,0.41,Matches,3a24769f
36,Ashley Barnes,eng ENG,FW,Burnley,29,1989,19,17,1352,15.0,0.40,0.00,0.40,0.33,0.07,0.07,0.27,0.00,0.41,0.36,0.02,0.38,0.67,1.20,4.07,0.40,0.00,0.40,0.33,0.33,0.41,0.02,0.43,0.36,0.38,Matches,2691c772
37,Harvey Barnes,eng ENG,MFFW,Leicester City,21,1997,36,24,2083,23.1,0.26,0.35,0.61,0.26,0.00,0.00,0.00,0.00,0.35,0.35,0.18,0.53,4.11,3.90,9.57,0.26,0.35,0.60,0.26,0.60,0.35,0.18,0.53,0.35,0.53,Matches,3ea50f67
38,Chris Basham,eng ENG,DF,Sheffield Utd,31,1988,38,38,3242,36.0,0.00,0.03,0.03,0.00,0.00,0.00,0.11,0.00,0.01,0.01,0.04,0.04,0.89,2.28,1.94,0.00,0.03,0.03,0.00,0.03,0.01,0.04,0.04,0.01,0.04,Matches,1aa84968
